City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,honningsvag,70.9821,25.9704,-8.14,86,100,3.6,NO,1678437345
165,kattivakkam,13.2167,80.3167,31.05,52,88,5.44,IN,1678437346
166,fairview,40.8126,-73.999,2.56,67,0,4.63,US,1678437347
167,port elizabeth,-33.918,25.5701,26.72,76,40,3.6,ZA,1678437019
168,awjilah,29.1081,21.2869,23.14,30,0,4.27,LY,1678437348
169,esperance,-33.8667,121.9,20.69,75,19,6.23,AU,1678436840
170,kaka,37.3482,59.6143,23.33,37,100,5.39,TM,1678437304
171,apollonia,36.9716,24.7231,14.77,89,9,10.03,GR,1678437350
172,torbay,47.6666,-52.7314,-0.96,92,100,12.35,CA,1678437351
173,jumla,29.2747,82.1838,12.25,60,80,3.61,NP,1678437351
174,turmalina,-17.2856,-42.73,17.26,98,50,0.96,BR,1678437352
175,half moon bay,37.4636,-122.4286,14.35,93,100,14.92,US,1678437353
176,guadalupe y calvo,26.1,-106.9667,8.11,38,100,2.51,MX,1678437354
177,thinadhoo,0.5333,72.9333,26.44,81,73,3.59,MV,1678437355
178,saint-francois,46.4154,3.9054,8.71,78,100,8.23,FR,1678437356
179,san vicente,-26.6167,-54.1333,17.44,88,3,0.85,AR,1678437356
180,yuancheng,36.652,107.7896,18.63,10,55,3.61,CN,1678437357
181,riohacha,11.5444,-72.9072,23.41,84,83,2.48,CO,1678437358
182,cabras,39.93,8.5314,18.82,77,14,4.27,IT,1678437359
183,north bend,43.4065,-124.2243,4.92,100,75,5.66,US,1678437359
184,gizo,-8.103,156.8419,26.6,78,100,1.2,SB,1678437360
185,kenai,60.5544,-151.2583,-2.97,54,0,5.14,US,1678437338
186,kandrian,-6.2167,149.55,25.96,88,100,2.61,PG,1678437361
187,touros,-5.1989,-35.4608,25.53,81,98,3.53,BR,1678437306
188,lorengau,-2.0226,147.2712,27.21,79,100,1.14,PG,1678437363
189,saint-philippe,-21.3585,55.7679,27.77,83,40,5.24,RE,1678437364
190,sucua,-2.4667,-78.1667,20.07,98,100,1.23,EC,1678437365
191,morgan city,29.6994,-91.2068,18.0,100,75,2.02,US,1678437365
192,redcar,54.6166,-1.06,1.87,68,100,2.68,GB,1678437366
193,portland,45.5234,-122.6762,6.52,90,100,7.2,US,1678437167
194,jiexiu,37.0244,111.9125,22.77,9,0,5.15,CN,1678437368
195,chara,56.9064,118.2631,-9.05,84,100,4.39,RU,1678437129
196,ambon,-3.6954,128.1814,28.43,75,34,4.21,ID,1678437369
197,miranda,3.2499,-76.2281,19.07,91,99,0.97,CO,1678437370
198,grand gaube,-20.0064,57.6608,27.22,83,99,1.79,MU,1678437371
199,bubaque,11.2833,-15.8333,25.13,62,57,2.99,GW,1678437373
200,rio verde de mato grosso,-18.9181,-54.8442,22.3,91,100,2.01,BR,1678437373
201,ambovombe,-25.1667,46.0833,28.34,61,19,6.99,MG,1678437374
202,lagoa,39.05,-27.9833,16.41,93,100,12.06,PT,1678436778
203,nikolskoye,59.7035,30.7861,-6.22,77,98,3.02,RU,1678437376
204,porto belo,-27.1578,-48.5531,24.53,93,100,2.52,BR,1678437377
205,vostok,46.4856,135.8833,-3.93,97,99,0.6,RU,1678437378
206,sibolga,1.7427,98.7792,27.72,79,78,1.27,ID,1678437378
207,hualmay,-11.0964,-77.6139,23.24,78,100,2.09,PE,1678437379
208,kruisfontein,-34.0033,24.7314,25.49,44,0,2.44,ZA,1678437380
209,chipinge,-20.1883,32.6236,22.42,72,84,3.11,ZW,1678437381
210,udachnyy,66.4167,112.4,-21.42,69,100,5.8,RU,1678437119
211,pacifica,37.6138,-122.4869,14.21,94,100,14.92,US,1678437382
212,borba,-4.3878,-59.5939,22.83,100,99,0.56,BR,1678437383
213,jalu,29.0331,21.5482,22.93,30,0,3.77,LY,1678437384
214,clyde river,70.4692,-68.5914,-20.87,84,0,3.09,CA,1678437111
215,chokurdakh,70.6333,147.9167,-32.39,99,34,2.82,RU,1678436992
216,kudeyevskiy,54.8758,56.7567,1.99,100,94,6.74,RU,1678437386
217,lompoc,34.6391,-120.4579,12.1,91,100,9.77,US,1678437176
218,cap-chat,49.1001,-66.6821,-1.0,80,68,5.14,CA,1678437387
219,bathsheba,13.2167,-59.5167,22.34,94,20,1.54,BB,1678437388
220,westport,41.1415,-73.3579,1.53,76,0,2.57,US,1678437389
221,diamantino,-14.4086,-56.4461,21.73,97,99,1.78,BR,1678437390
222,takhtamygda,54.1,123.5667,-5.74,93,100,6.37,RU,1678437391
223,bambous virieux,-20.3428,57.7575,27.14,89,75,1.54,MU,1678437391
224,skibbereen,51.55,-9.2667,2.84,72,100,3.17,IE,1678437392
225,makakilo city,21.3469,-158.0858,20.18,71,0,4.12,US,1678437393
226,port augusta,-32.5,137.7667,24.15,37,0,3.9,AU,1678437394
227,kushima,31.4583,131.2333,16.33,75,4,1.88,JP,1678437395
228,namatanai,-3.6667,152.4333,26.44,81,87,2.24,PG,1678437396
229,guerrero negro,27.9769,-114.0611,13.46,81,0,7.41,MX,1678436907
230,ancud,-41.8697,-73.8203,12.9,96,100,3.81,CL,1678437397
231,sorland,67.667,12.6934,-1.08,54,100,6.67,NO,1678437398
232,ahuimanu,21.4447,-157.8378,20.84,68,20,4.12,US,1678437399
